,date,platform,marketing_channel,campaign_id,source_country,countries,total_impressions,total_clicks,total_app_installs,total_conversions,total_marketing_spend,total_revenue,ROAS,CPA,CPI,CPM,CR,CTR,platform_campaign
64,2023-11-04,android,Channel B,6349421515615,DE,DE,136971,628,311,19,912.42,647.88,0.7100677319655422,48.02210526315789,2.9338263665594853,6.661410079505881,3.0254777070063694,0.45849121346854443,Channel B - android - DE - 6349421515615
65,2023-11-04,android,Channel B,6411365672615,US,US,1479,8,7,1,15.82,18.63,1.177623261694058,15.82,2.2600000000000002,10.696416497633537,12.5,0.5409060175794456,Channel B - android - US - 6411365672615
66,2023-11-04,android,Channel E,1763164645253137,DE,DE,46172,504,32,0,66.81,0.0,0.0,,2.0878125,1.4469808541973492,0.0,1.0915706488781078,Channel E - android - DE - 1763164645253137
67,2023-11-04,android,Channel E,1769120303953937,DE,DE,175833,225,44,4,413.54,115.76,0.2799245538521062,103.385,9.398636363636363,2.351890714484767,1.7777777777777777,0.127962327890669,Channel E - android - DE - 1769120303953937
68,2023-11-04,iOS,Channel B,6492364605815,DE,DE,79547,294,0,0,600.89,0.0,0.0,,,7.553898952820345,0.0,0.36959281933950994,Channel B - iOS - DE - 6492364605815
69,2023-11-04,iOS,Channel B,6519038436815,DE,DE,86255,413,59,2,601.56,46.63,0.07751512733559414,300.78,10.19593220338983,6.974204393948177,0.48426150121065376,0.47881282244507567,Channel B - iOS - DE - 6519038436815
70,2023-11-04,ios,Channel A,20367976937,US,US,234695,194,63,1,388.01,15.86,0.040875235174351175,388.01,6.158888888888889,1.6532520931421633,0.5154639175257731,0.08266047423251453,Channel A - ios - US - 20367976937
71,2023-11-04,ios,Channel C,1023570237,DE,DE,367,11,6,2,12.65,61.06,4.826877470355731,6.325,2.1083333333333334,34.46866485013624,18.181818181818183,2.997275204359673,Channel C - ios - DE - 1023570237
72,2023-11-04,ios,Channel C,1023585396,US,US,1788,142,65,5,305.35,149.03,0.48806287866382836,61.07000000000001,4.697692307692308,170.77740492170022,3.5211267605633805,7.941834451901567,Channel C - ios - US - 1023585396
73,2023-11-04,ios,Channel C,1023655231,US,US,203,68,26,4,97.39,83.82,0.8606633124550774,24.3475,3.745769230769231,479.7536945812808,5.88235294117647,33.497536945812804,Channel C - ios - US - 1023655231
74,2023-11-04,ios,Channel C,1023678230,DE,DE,117,33,21,3,45.38,79.99,1.76267078007933,15.126666666666667,2.160952380952381,387.86324786324786,9.090909090909092,28.205128205128204,Channel C - ios - DE - 1023678230
75,2023-11-04,ios,Channel C,1023835841,DE,DE,1356,668,420,50,542.57,1754.09,3.2329284700591625,10.851400000000002,1.2918333333333334,400.12536873156347,7.48502994011976,49.26253687315634,Channel C - ios - DE - 1023835841
76,2023-11-04,ios,Channel C,1256454484,US,US,390,11,4,0,14.92,0.0,0.0,,3.73,38.256410256410255,0.0,2.8205128205128207,Channel C - ios - US - 1256454484
77,2023-11-04,ios,Channel C,1410804754,US,US,89,4,2,0,10.64,0.0,0.0,,5.32,119.55056179775282,0.0,4.49438202247191,Channel C - ios - US - 1410804754
78,2023-11-04,ios,Channel C,1411644825,US,US,14,5,1,0,9.35,0.0,0.0,,9.35,667.8571428571428,0.0,35.714285714285715,Channel C - ios - US - 1411644825
79,2023-11-04,ios,Channel C,1412537821,DE,DE,1315,369,238,24,724.39,752.35,1.038597992793937,30.182916666666667,3.0436554621848737,550.8669201520912,6.504065040650407,28.060836501901143,Channel C - ios - DE - 1412537821
80,2023-11-05,android,Channel A,12804450204,DE,DE,3390,398,0,0,118.23,0.0,0.0,,,34.876106194690266,0.0,11.740412979351031,Channel A - android - DE - 12804450204
81,2023-11-05,android,Channel A,13570876685,DE,DE,58641,1323,671,70,1303.89,2324.34,1.7826196995145296,18.627000000000002,1.943204172876304,22.23512559472042,5.291005291005291,2.256100680411316,Channel A - android - DE - 13570876685
82,2023-11-05,android,Channel B,6154573222815,DE,DE,1049,2,1,1,22.86,9.97,0.4361329833770779,22.86,22.86,21.79218303145853,50.0,0.19065776930409914,Channel B - android - DE - 6154573222815
83,2023-11-05,android,Channel B,6318246682215,US,US,3141,24,21,1,47.13,18.63,0.3952896244430299,47.13,2.244285714285714,15.004775549188158,4.166666666666666,0.7640878701050621,Channel B - android - US - 6318246682215
84,2023-11-05,android,Channel B,6349421515615,DE,DE,152766,682,386,16,959.66,601.72,0.6270137340308026,59.97875,2.486165803108808,6.281895186101619,2.346041055718475,0.44643441603498163,Channel B - android - DE - 6349421515615
85,2023-11-05,android,Channel B,6411365672615,US,US,1731,11,11,1,19.79,37.26,1.8827690752905508,19.79,1.799090909090909,11.43269786250722,9.090909090909092,0.635470826112074,Channel B - android - US - 6411365672615
86,2023-11-05,android,Channel E,1763164645253137,DE,DE,47524,349,123,0,65.2,0.0,0.0,,0.5300813008130082,1.371938389024493,0.0,0.7343657941250736,Channel E - android - DE - 1763164645253137
